EventID,POCA_X,POCA_Y,POCA_Z,scattering
446,328.8135810738497,-732.2816064526512,-38.36156499892502,0.020331905329955317
447,76.51497140930053,-328.8762247517579,26.341929443974607,0.011429232872529031
448,78.79023704819497,125.88099098287665,-24.658882687336813,0.019740272509751692
449,-717.7925337101748,-976.2124330756221,187.1128456683473,0.020056098158643596
450,-925.60500728649,-685.8989631588288,279.0486434839476,0.015281284634720135
452,-68.99453579297642,206.86950102673694,-82.98788664570486,0.018238036092285085
453,997.9282933522954,455.88041937511275,31.307382155839775,0.014093827044563547
454,446.8902900634006,515.2910171105298,-201.37774163521578,0.010688973416471691
455,-320.5615932214039,-807.3706108965221,206.10671300432745,0.016143280151791756
458,-527.2044681701101,638.0701689774853,-341.18764607773886,0.019803226143696936
459,1.1449852276511083,-776.4887958763572,-162.5913825496482,0.02982093834739647
462,-839.9902712697442,-798.5310459336986,132.40351986108362,0.023091647786047387
463,965.0928703041805,-907.6953328487241,-113.78850834458797,0.032663123574376965
466,-503.1868882404075,-404.21360923479324,129.2291464275495,0.015900191201662417
467,-933.0790933717113,-227.19399530416788,-241.49007883751472,0.06202584386720598
468,-741.2587236611562,-720.9855818059194,-40.301144137360325,0.02153512090219514
469,974.0425982568743,-11.754989091155977,-277.4397007534053,0.009244146416902795
470,135.957151195697,371.6722727965928,-169.09072857728535,0.014305573311412969
471,-681.1778528113678,646.2758712397376,-267.71354761592477,0.022635669897127255
472,586.6935180797869,-670.6675942538404,-416.2851357347727,0.0039513958932196015
473,578.3148205055003,766.8577314439501,142.8540638612527,0.02147505259127369
474,-376.4541585411814,-193.28864247784776,-156.0578384910238,0.018648004635075634
475,93.12568643811088,-711.8718569155237,-71.10298090223165,0.014362392920248077
476,59.23686593999993,-990.5819031595821,-157.99801443447086,0.015541610924029819
477,-42.866567184815715,-771.4569513141007,-8.177116393321,0.021826645912027095
478,944.7049885073708,-156.81040859938878,-435.3749487558168,0.01636607761514627
479,-944.445691522926,-424.54922777533636,242.82236390628566,0.025902816804759872
480,15.460216541697509,113.96843904137842,-201.49469974810017,0.022796577959929943
481,-57.15493304949048,369.8957020769918,-267.0556444479198,0.021858901666725737
482,92.14263143808546,156.19535538272987,101.91479694766224,0.024024721479255613
483,-555.1842442337328,-120.25295586511945,-111.0328547248003,0.024750000065798174
484,-73.13391307934197,-726.4442484291851,-106.95537073754537,0.02458993390844598
487,296.0879657272486,192.17593706276847,252.34185830760697,0.009603662982488482
488,-913.6844614724776,671.9019299574425,-172.53229741755945,0.04715594490661125
489,-905.1330761756756,-374.9546842736744,-46.730418027239295,0.019105294884331936
490,565.7522653375804,-574.600268920531,309.1716059498169,0.0106963048209969
491,749.4492853329419,-38.79154673098279,-214.18292277507925,0.021975441550510514
492,-519.4438461263412,327.50929925571927,113.85600088797764,0.01799368473561306
493,-427.6228918675765,990.1910999099605,-133.367198525599,0.025521619401146875
494,-817.7932853230669,-71.56095544067111,-132.02827543760588,0.02817411406069461
495,491.7449047258174,-256.015830478904,-224.6292641466522,0.03195637127911877
496,-573.450096440012,669.233594191981,213.08439717007616,0.015168681460736182
497,943.4319200217699,-647.84044573731,-214.61437990843194,0.013813542447243492
498,-837.9568093654996,-979.2562181440675,-330.9936983108064,0.023071110364875465
499,776.8001583972889,894.059546462274,-24.57046328029861,0.024887028653646476
500,-205.65945030815146,-840.6671122251838,-32.208673792309696,0.018897045360068483
501,684.315549822252,737.9139082780787,-130.55583680931488,0.018790842739182013
502,-645.8565709947093,526.0902403234552,-131.88033631599137,0.02615363462523093
503,-139.724917970732,-881.2659531493842,-265.86154599313795,0.02221778087279748
504,380.3438589725166,-785.8515003092126,336.1066491695641,0.0298501345234543
505,-559.1462931703152,977.9435981614033,-323.86012007290583,0.019809499699415235
508,354.8767321230507,455.64902510361526,-162.3937336970567,0.008035626126604961
509,-263.5663181326995,777.6813000062834,-16.93665254397331,0.018521538034336867
510,-261.3820511829681,778.1466897016796,-322.27728057507807,0.006689128760129253
511,285.25002206804186,-538.8467134382288,-99.74129260067679,0.01713505178376742
513,-884.9594321463932,-754.5190546709216,-208.2624583559595,0.014533082382343174
514,-888.7819410480854,474.6166833851647,156.54072414705325,0.006890573664964886
516,923.2055688424607,990.1635267738806,-114.60316797483517,0.02676752357598518
517,308.84930606892954,614.0944670430382,-173.6691443926407,0.020603370394141292
518,197.67209328238522,-231.84868177704544,473.0225884910008,0.008573996947658091
520,945.0275365604818,488.89189592773386,8.643794044584922,0.025496627383293984
521,326.4186501682682,-299.73355027428147,-87.68297354655141,0.060956044917979096
522,-44.105767325305486,-758.488128869634,344.25628485942485,0.01628300517236537
523,-675.7463589932214,-278.8373063012059,35.49673499254112,0.021805325306168685
524,750.3658041876305,686.5533164751793,-93.69801371853725,0.014860586237617095
525,-611.8509684079677,881.8028621598645,33.78277372188131,0.013999158803992025
526,979.2301301583464,-223.2087028268547,49.548347428033935,0.03038066402007053
527,797.7445852749308,531.5483322746929,-218.88786485247607,0.004378602138520551
528,175.51200738102943,822.4882499882142,-74.34522392737398,0.02312382834469839
530,-55.97690839577467,-868.9182319226666,274.7457284465335,0.01943560687713948
531,-862.8408330803984,-229.29626261064374,157.3711742006481,0.03021533182247787
533,459.41722694911044,0.7458008698658436,158.7768775039176,0.016765329385168413
534,388.9174007279331,184.83936329397204,24.26677303967307,0.034312280543406244
535,283.7865261066437,-985.3128459201597,178.34994772882771,0.016193582112832037
536,-298.3242887059172,571.8419845780015,-112.52466792315028,0.01836269192971744
537,802.4118364843528,-834.9324858002415,-56.64817432884024,0.013911740119356947
538,-855.9877883518234,-977.8195887850796,-7.249994153592581,0.008804172634336927
539,481.4654449587319,-916.3506276835335,-112.2438157551623,0.01170872075049204
540,-7.7122030427150365,-589.216351536561,-224.30226899497563,0.01330737507892705
541,-825.3196110446884,994.5236401738391,-312.8216642108872,0.012311321717471211
542,852.3387740027454,704.872565001649,-297.76758481049933,0.0024778771926167466
543,-360.66720929044374,646.0669854522946,180.99790635526494,0.012317893456904792
544,-1.0779390310855197,-152.33508400705807,341.5495851679749,0.01540817147706474
545,558.0846287133065,-61.05799663432505,-362.65876164219884,0.015280413508636057
546,189.50473260047437,-746.6638943900055,-216.28650235817202,0.014569525259043776
547,692.0354554079494,667.7324912831921,-246.97424034374012,0.012340445841817007
548,-419.7823959171418,-274.16938812281603,416.80029556338326,0.007556057315889377
549,-281.58298629530884,217.68692579489323,240.26730009969378,0.029982797961665475
550,-96.8111095468982,727.2000157861986,407.4687391546574,0.0036372198813477102
551,824.5071330558837,-594.6982429646085,-349.93819173921617,0.012810943747926564
552,208.61743007832646,147.1754956637996,-13.947784046633444,0.050848748967287395
553,139.59222890954817,-115.18170023723323,213.06928721595654,0.007649189147587666
554,-133.48366752888427,-337.2549192681175,-140.65596619579986,0.029211914136509736
555,-323.15640737429686,-868.6925070425092,29.415461000371636,0.015245071352350925
556,757.7502295940265,-103.69173719013443,22.732514511604222,0.016035839806845156
558,-614.480848553613,-972.2527306132149,-241.91845436625727,0.02170844873793794
559,968.8433844870522,654.2551403043233,-420.72768208744634,0.012223285916320941
560,-698.917836548796,486.7562255132036,178.87215616829394,0.034000184528800076
561,708.6854048750057,-953.813337207573,241.5944298459492,0.015892818266669263
562,-305.0051090701144,561.2023764136993,143.89276150423797,0.03633960568812612
563,145.8463802353036,450.3188083374965,-364.29573921389175,0.02200408867894636
564,215.13616773989057,818.8647388070935,-245.03510188807178,0.021334268188821316
565,-265.9345096650185,-176.53011689110738,-58.82671538559117,0.006116155070361783
568,-696.9386646693285,-192.39299021737764,-192.23393069750574,0.04118029441136622
569,33.531120506329955,632.3177950781454,287.154692644336,0.012168129598835176
570,939.3040960292105,-741.9778276905046,297.7351311697107,0.034443601863373766
571,880.9999035524019,-447.6634071643973,105.25030649255297,0.02257471019489842
572,176.54486157456844,117.4585897557372,75.75789559786716,0.00877299805563799
573,244.58602704544376,726.6162632983644,-96.9424510429298,0.031096697303434267
575,393.4068430959736,527.3352800012129,-369.1859155997188,0.0038014647551913834
576,876.7531746922588,300.9587899646856,-219.66958133653685,0.01584715250295622
577,405.7224395515203,437.2333372574026,15.755089248610034,0.012784346110814386
578,-899.4921581433667,-926.5449258813082,-118.6748406311018,0.00898007769293944
579,-835.8163329630449,-414.15073213860114,-167.0606363188602,0.04093011588329667
580,-736.3597294942101,371.5768446572242,-45.34496706332317,0.005254417732750699
583,-147.39143828501778,-155.33330477352376,-55.381050086895584,0.01746677625368297
584,-285.4931773088389,151.30737156835522,-239.80503811129597,0.026751280439274387
585,-652.8700331819971,-468.8938043129725,142.51615302031166,0.027535693431254143
586,-10.388830849493466,117.63685868898435,61.20874856490963,0.031203069248616825
587,-264.0553697456444,-936.1583015660724,-267.3950994723829,0.018830019497680404
589,364.72970795033245,483.91812903745324,-375.1309559827919,0.018811931954776137
590,-642.2554399663268,806.9781753001824,-62.95822671254359,0.03770374019112689
