#class tools::wcsv::ntuple
#title Muon Tomography Hits
#separator 44
#vector_separator 59
#column int EventID
#column string Sensor
#column double X
#column double Y
#column double Z
#column double Theta
#column double Phi
43,TopSensor,-530.395,334.711,1010,3.14155,-2.67212
43,BottomSensor,-548.92,346.775,-990,3.11338,2.53204
44,TopSensor,-77.1131,-929.502,1010,3.14139,-1.76956
44,BottomSensor,-106.015,-914.098,-990,3.10872,2.50301
45,TopSensor,381.81,612.574,1010,3.14144,-1.03624
45,BottomSensor,370.907,642.636,-990,3.1034,2.02884
46,TopSensor,-729.549,-606.739,1010,3.14149,-0.868458
46,BottomSensor,-762.082,-578.465,-990,3.09895,2.37879
47,TopSensor,24.2475,123.192,1010,3.14156,0.30434
47,BottomSensor,37.6736,121.66,-990,3.12822,-0.0451755
48,TopSensor,-497.869,770.722,1010,3.14117,0.400882
48,BottomSensor,-500.757,758.437,-990,3.12927,-1.08789
49,TopSensor,-743.687,898.992,1010,3.1412,2.14296
49,BottomSensor,-771.344,880.26,-990,3.1174,-2.78322
50,TopSensor,848.185,565.76,1010,3.14151,-0.266798
50,BottomSensor,857.9,555.369,-990,3.12262,0.0459889
51,TopSensor,-754.054,-219.219,1010,3.14141,-0.168084
51,BottomSensor,-761.065,-238.107,-990,3.12448,-2.21458
52,TopSensor,-37.255,207.732,1010,3.14141,-1.65983
52,BottomSensor,-25.4348,205.264,-990,3.13386,-0.0911489
53,TopSensor,136.808,-837.155,1010,3.14153,-0.117959
53,BottomSensor,106.979,-838.212,-990,3.11218,-2.91588
54,TopSensor,-463.058,296.227,1010,3.14146,2.63349
54,BottomSensor,-480.304,292.834,-990,3.12821,3.03376
55,TopSensor,730.387,617.963,1010,3.14148,-2.31853
55,BottomSensor,739.115,642.273,-990,3.11453,1.40023
56,TopSensor,-890.991,302.502,1010,3.14133,1.73985
56,BottomSensor,-884.095,324.619,-990,3.121,1.42849
57,TopSensor,-569.614,687.881,1010,3.14153,-0.282721
57,BottomSensor,-575.504,702.905,-990,3.11918,1.87505
58,TopSensor,-193.235,631.04,1010,3.14134,0.150628
58,BottomSensor,-180.257,655.609,-990,3.1152,1.02527
59,TopSensor,-26.5805,-955.221,1010,3.14146,-2.60495
59,BottomSensor,-35.3486,-950.65,-990,3.13111,2.48439
60,TopSensor,-962.017,-667.431,1010,3.14146,1.77724
60,BottomSensor,-975.057,-676.102,-990,3.12513,-2.77924
61,TopSensor,129.251,-51.6698,1010,3.14129,0.867195
61,BottomSensor,108.543,-60.8024,-990,3.12457,-2.66784
62,TopSensor,-520.394,599.583,1010,3.14149,2.35832
62,BottomSensor,-520.434,609.948,-990,3.1354,2.0209
63,TopSensor,-402.083,168.399,1010,3.14145,2.02886
63,BottomSensor,-431.49,138.41,-990,3.0975,-2.42943
64,TopSensor,-981.924,688.904,1010,3.14155,2.54566
64,BottomSensor,-955.643,701.378,-990,3.11253,0.483825
65,TopSensor,379.279,-180.963,1010,3.14147,2.00434
65,BottomSensor,388.316,-157.597,-990,3.12073,1.2248
66,TopSensor,-43.2042,-796.889,1010,3.14145,-0.160135
66,BottomSensor,-33.3647,-808.676,-990,3.12247,-0.890841
67,TopSensor,337.368,-952.277,1010,3.14147,-1.38301
67,BottomSensor,353.118,-934.002,-990,3.11587,0.55431
